Day,StartTime,EndTime,CourseID,CourseName,Type,InstructorID,Instructor,Room,Sections,StudentCount
Sunday,10:45 AM,12:15 PM,AID411,BIG Data Analytics & Visualization,Lecture,P23,Prof. Marghany Hassan,B09 G.35,"CSIT-4-AID-s1, CSIT-4-AID-s2, CSIT-4-AID-s3",75
Sunday,10:45 AM,12:15 PM,MTH212,Probability and Statistics,Lab,A01,BAS Department Staff,B25 G.02,CSIT-2-s7,25
Sunday,10:45 AM,12:15 PM,ECE324,Digital Signal Processing,Lab,A02,ECE Department Staff,B17 F1.09,CSIT-3-CNC-s1,25
Sunday,10:45 AM,12:15 PM,CNC419,IT Security and Risk Management,Lab,A41,Eng. Omar Hassan,B18 G.04,CSIT-4-CNC-s1,25
Sunday,10:45 AM,12:15 PM,CSC315,Seminar and Project-Based Learning on CSIT,Lecture,P30,Prof. Mostafa Soliman,B17 F1.03,CSIT-3-BIF-s1,15
Sunday,10:45 AM,12:15 PM,CSE214,Computer Organization,Lab,A17,Eng. Omnya Ramadan,B26 F1.08,CSIT-2-s3,25
Sunday,10:45 AM,12:15 PM,LRA403,Japanese Language (3),Lab,A38,Prof. Yumi Sato,B09 F1.04,CSIT-2-s2,25
Sunday,10:45 AM,12:15 PM,AID312,Intelligent Systems,Lab,A28,Eng. Omar Hassan,B26 G.21,CSIT-3-CSC-s1,25
Sunday,10:45 AM,12:15 PM,CSC111,Fundamentals of Programming,Lab,A35,Eng. Maryam Essam,B18 G.11,CSIT-1-s8,25
Sunday,10:45 AM,12:15 PM,PHY113,Physics 1,Lab,A06,Eng. Fatima Ali,B07 F1.21,CSIT-1-s9,25
Sunday,10:45 AM,12:15 PM,CSC411,Software Verification and Validation,Lab,A42,Eng. Fatima Ali,B18 G.20,CSIT-4-CSC-s2,15
Sunday,10:45 AM,12:15 PM,CNC311,Computer Networks,Lab,A33,Eng. Hana Tarek,B18 F1.10,CSIT-3-CNC-s2,25
Sunday,10:45 AM,12:15 PM,CNC111,Networks and Web Programming,Lab,A43,Eng. Ali Sato,B07 F1.01,CSIT-2-s1,25
Sunday,10:45 AM,12:15 PM,CNC314,Database Systems,Lab,A16,Eng. Nourhan Waleed,B26 G.13,CSIT-3-CSC-s2,15
Sunday,10:45 AM,12:15 PM,ACM215,Ordinary Differential Equations,Lab,A45,Eng. Yousef Said,B09 F1.22,CSIT-2-s9,25
Sunday,12:30 PM,2:00 PM,ECE111,Digital Logic Design,Lecture,P08,Prof. Ahmed Allam,B7 Theater,"CSIT-1-s1, CSIT-1-s2, CSIT-1-s3",75
Sunday,12:30 PM,2:00 PM,ACM215,Ordinary Differential Equations,Lecture,P04,Dr. Ahmed Abdel-Malk,B08 G.41,"CSIT-2-s7, CSIT-2-s8, CSIT-2-s9",75
Sunday,12:30 PM,2:00 PM,LRA306,Natural Resources and Sustainability,Lecture,P34,Prof. LBA,B26 F1.16,"CSIT-2-s1, CSIT-2-s2, CSIT-2-s3",75
Sunday,12:30 PM,2:00 PM,CNC415,Network Design and Management,Lecture,P32,Dr. Mustafa AlSayed,B18 F1-21,"CSIT-4-CNC-s1, CSIT-4-CNC-s2, CSIT-4-CNC-s3",75
Sunday,12:30 PM,2:00 PM,CSC314,Software Modeling and Analysis,Lab,A24,Eng. Yousef Ali,B25 G.05,CSIT-3-CSC-s1,25
